respID,obsID,qID,altID,choice,price,fuelEconomy,accelTime,powertrain,outsideGood
1,1,1,1,1,15,30,8,gas,0
1,1,1,2,0,15,25,6,gas,0
1,1,1,3,0,15,25,6,elec,0
1,1,0,0,0,0,0,0,gas,1
1,2,2,1,0,15,20,7,gas,0
1,2,2,2,0,15,25,7,gas,0
1,2,2,3,1,15,30,8,gas,0
1,2,0,0,0,0,0,0,gas,1
1,3,3,1,1,15,25,6,gas,0
1,3,3,2,0,15,20,8,gas,0
1,3,3,3,0,15,30,6,elec,0
1,3,0,0,0,0,0,0,gas,1
1,4,4,1,0,15,30,8,elec,0
1,4,4,2,1,15,20,7,elec,0
1,4,4,3,0,15,30,6,elec,0
1,4,0,0,0,0,0,0,gas,1
1,5,5,1,0,15,30,7,elec,0
1,5,5,2,1,15,25,6,gas,0
1,5,5,3,0,15,25,8,gas,0
1,5,0,0,0,0,0,0,gas,1
1,6,6,1,1,15,25,6,gas,0
1,6,6,2,0,15,25,8,gas,0
1,6,6,3,0,15,20,7,gas,0
1,6,0,0,0,0,0,0,gas,1
1,7,7,1,0,15,30,6,elec,0
1,7,7,2,1,15,20,6,elec,0
1,7,7,3,0,15,20,7,elec,0
1,7,0,0,0,0,0,0,gas,1
1,8,8,1,1,15,30,6,gas,0
1,8,8,2,0,15,30,6,elec,0
1,8,8,3,0,15,20,7,gas,0
1,8,0,0,0,0,0,0,gas,1
2,9,1,1,1,15,20,7,gas,0
2,9,1,2,0,15,25,6,elec,0
2,9,1,3,0,15,20,8,gas,0
2,9,0,0,0,0,0,0,gas,1
2,10,2,1,0,15,30,7,elec,0
2,10,2,2,0,15,25,7,elec,0
2,10,2,3,1,15,30,6,elec,0
2,10,0,0,0,0,0,0,gas,1
2,11,3,1,0,15,20,7,elec,0
2,11,3,2,0,15,25,8,elec,0
2,11,3,3,1,15,20,6,gas,0
2,11,0,0,0,0,0,0,gas,1
2,12,4,1,0,15,30,6,gas,0
2,12,4,2,1,15,25,7,gas,0
2,12,4,3,0,15,25,7,elec,0
2,12,0,0,0,0,0,0,gas,1
2,13,5,1,0,15,30,7,elec,0
2,13,5,2,1,15,30,6,gas,0
2,13,5,3,0,15,25,6,elec,0
2,13,0,0,0,0,0,0,gas,1
2,14,6,1,0,15,25,7,elec,0
2,14,6,2,1,15,30,7,gas,0
2,14,6,3,0,15,30,8,elec,0
2,14,0,0,0,0,0,0,gas,1
2,15,7,1,1,15,30,6,gas,0
2,15,7,2,0,15,30,6,elec,0
2,15,7,3,0,15,25,8,elec,0
2,15,0,0,0,0,0,0,gas,1
2,16,8,1,0,15,20,6,gas,0
2,16,8,2,0,15,20,8,gas,0
2,16,8,3,1,15,30,7,gas,0
2,16,0,0,0,0,0,0,gas,1
3,17,1,1,1,15,30,7,gas,0
3,17,1,2,0,15,30,6,gas,0
3,17,1,3,0,15,20,6,gas,0
3,17,0,0,0,0,0,0,gas,1
3,18,2,1,1,15,25,7,gas,0
3,18,2,2,0,15,20,6,elec,0
3,18,2,3,0,15,20,8,elec,0
3,18,0,0,0,0,0,0,gas,1
3,19,3,1,1,15,30,6,gas,0
3,19,3,2,0,15,20,6,gas,0
3,19,3,3,0,15,25,8,gas,0
3,19,0,0,0,0,0,0,gas,1
3,20,4,1,1,15,25,6,gas,0
3,20,4,2,0,15,20,7,gas,0
3,20,4,3,0,15,30,7,elec,0
3,20,0,0,0,0,0,0,gas,1
3,21,5,1,1,15,30,8,gas,0
3,21,5,2,0,15,25,6,gas,0
3,21,5,3,0,15,20,8,gas,0
3,21,0,0,0,0,0,0,gas,1
3,22,6,1,1,15,25,7,elec,0
3,22,6,2,0,15,25,6,elec,0
3,22,6,3,0,15,20,6,elec,0
3,22,0,0,0,0,0,0,gas,1
3,23,7,1,1,15,25,8,gas,0
3,23,7,2,0,15,25,7,gas,0
3,23,7,3,0,15,20,6,gas,0
3,23,0,0,0,0,0,0,gas,1
3,24,8,1,0,15,25,8,elec,0
3,24,8,2,1,15,30,8,gas,0
3,24,8,3,0,15,25,7,elec,0
3,24,0,0,0,0,0,0,gas,1
4,25,1,1,1,15,25,6,gas,0
4,25,1,2,0,15,30,6,elec,0
4,25,1,3,0,15,30,7,elec,0
4,25,0,0,0,0,0,0,gas,1
4,26,2,1,0,15,25,6,elec,0
4,26,2,2,1,15,30,6,gas,0
4,26,2,3,0,15,30,7,gas,0
4,26,0,0,0,0,0,0,gas,1
4,27,3,1,1,15,30,8,gas,0
4,27,3,2,0,15,25,8,gas,0
4,27,3,3,0,15,25,7,gas,0
4,27,0,0,0,0,0,0,gas,1
4,28,4,1,0,15,30,6,elec,0
4,28,4,2,0,15,25,6,elec,0
4,28,4,3,1,15,30,8,gas,0
4,28,0,0,0,0,0,0,gas,1
4,29,5,1,0,15,25,6,elec,0
4,29,5,2,0,15,30,6,elec,0
4,29,5,3,1,15,30,8,gas,0
4,29,0,0,0,0,0,0,gas,1
4,30,6,1,0,15,30,6,elec,0
4,30,6,2,1,15,25,8,gas,0
4,30,6,3,0,15,25,6,elec,0
4,30,0,0,0,0,0,0,gas,1
4,31,7,1,0,15,25,7,elec,0
4,31,7,2,1,15,30,8,elec,0
4,31,7,3,0,15,20,6,gas,0
4,31,0,0,0,0,0,0,gas,1
4,32,8,1,0,15,30,6,gas,0
4,32,8,2,1,15,25,8,gas,0
4,32,8,3,0,15,25,7,gas,0
4,32,0,0,0,0,0,0,gas,1
5,33,1,1,1,15,20,7,gas,0
5,33,1,2,0,15,30,8,gas,0
5,33,1,3,0,15,20,7,elec,0
5,33,0,0,0,0,0,0,gas,1
5,34,2,1,0,15,30,6,elec,0
5,34,2,2,0,15,30,7,elec,0
5,34,2,3,0,15,20,8,elec,0
5,34,0,0,1,0,0,0,gas,1
5,35,3,1,0,15,30,6,elec,0
5,35,3,2,0,15,20,6,elec,0
5,35,3,3,1,15,20,6,gas,0
5,35,0,0,0,0,0,0,gas,1
5,36,4,1,1,15,30,8,elec,0
5,36,4,2,0,15,20,7,elec,0
5,36,4,3,0,15,30,7,elec,0
5,36,0,0,0,0,0,0,gas,1
5,37,5,1,1,15,30,6,gas,0
5,37,5,2,0,15,20,8,gas,0
5,37,5,3,0,15,30,7,elec,0
5,37,0,0,0,0,0,0,gas,1
5,38,6,1,1,15,25,8,gas,0
5,38,6,2,0,15,25,7,elec,0
5,38,6,3,0,15,25,8,elec,0
5,38,0,0,0,0,0,0,gas,1
5,39,7,1,1,15,20,8,gas,0
5,39,7,2,0,15,30,8,elec,0
5,39,7,3,0,15,20,8,elec,0
5,39,0,0,0,0,0,0,gas,1
5,40,8,1,1,15,20,8,gas,0
5,40,8,2,0,15,20,6,elec,0
5,40,8,3,0,15,30,8,elec,0
5,40,0,0,0,0,0,0,gas,1
6,41,1,1,0,15,20,6,elec,0
6,41,1,2,1,15,30,7,gas,0
6,41,1,3,0,15,25,8,elec,0
6,41,0,0,0,0,0,0,gas,1
6,42,2,1,0,15,20,6,elec,0
6,42,2,2,0,15,20,7,elec,0
6,42,2,3,1,15,30,8,gas,0
6,42,0,0,0,0,0,0,gas,1
6,43,3,1,0,15,25,7,gas,0
6,43,3,2,0,15,20,8,elec,0
6,43,3,3,1,15,30,7,gas,0
6,43,0,0,0,0,0,0,gas,1
6,44,4,1,0,15,30,6,elec,0
6,44,4,2,0,15,30,8,elec,0
6,44,4,3,1,15,20,6,gas,0
6,44,0,0,0,0,0,0,gas,1
6,45,5,1,1,15,30,7,gas,0
6,45,5,2,0,15,20,6,gas,0
6,45,5,3,0,15,20,6,elec,0
6,45,0,0,0,0,0,0,gas,1
6,46,6,1,1,15,25,7,gas,0
6,46,6,2,0,15,20,7,gas,0
6,46,6,3,0,15,25,8,elec,0
6,46,0,0,0,0,0,0,gas,1
6,47,7,1,0,15,30,6,elec,0
6,47,7,2,1,15,20,8,elec,0
6,47,7,3,0,15,30,7,elec,0
6,47,0,0,0,0,0,0,gas,1
6,48,8,1,1,15,30,8,gas,0
6,48,8,2,0,15,20,6,elec,0
6,48,8,3,0,15,20,7,elec,0
6,48,0,0,0,0,0,0,gas,1
7,49,1,1,0,15,20,8,gas,0
7,49,1,2,0,15,30,8,gas,0
7,49,1,3,1,15,25,6,gas,0
7,49,0,0,0,0,0,0,gas,1
7,50,2,1,0,15,30,7,gas,0
7,50,2,2,1,15,30,6,gas,0
7,50,2,3,0,15,30,7,elec,0
7,50,0,0,0,0,0,0,gas,1
7,51,3,1,0,15,30,7,elec,0
7,51,3,2,1,15,25,8,gas,0
7,51,3,3,0,15,20,8,gas,0
7,51,0,0,0,0,0,0,gas,1
7,52,4,1,1,15,20,8,elec,0
7,52,4,2,0,15,20,6,elec,0
7,52,4,3,0,15,30,6,elec,0
7,52,0,0,0,0,0,0,gas,1
7,53,5,1,1,15,30,6,gas,0
7,53,5,2,0,15,20,7,elec,0
7,53,5,3,0,15,20,8,elec,0
7,53,0,0,0,0,0,0,gas,1
7,54,6,1,1,15,30,6,gas,0
7,54,6,2,0,15,30,6,elec,0
7,54,6,3,0,15,20,7,elec,0
7,54,0,0,0,0,0,0,gas,1
7,55,7,1,0,15,30,6,elec,0
7,55,7,2,0,15,20,8,elec,0
7,55,7,3,1,15,20,6,gas,0
7,55,0,0,0,0,0,0,gas,1
7,56,8,1,0,15,25,7,gas,0
7,56,8,2,1,15,20,8,gas,0
7,56,8,3,0,15,20,8,elec,0
7,56,0,0,0,0,0,0,gas,1
8,57,1,1,1,15,30,8,gas,0
8,57,1,2,0,15,25,6,elec,0
8,57,1,3,0,15,30,8,elec,0
8,57,0,0,0,0,0,0,gas,1
8,58,2,1,0,15,30,8,elec,0
8,58,2,2,1,15,30,6,elec,0
8,58,2,3,0,15,30,7,elec,0
8,58,0,0,0,0,0,0,gas,1
8,59,3,1,0,15,30,8,elec,0
8,59,3,2,1,15,30,7,gas,0
8,59,3,3,0,15,20,7,gas,0
8,59,0,0,0,0,0,0,gas,1
8,60,4,1,0,15,25,8,elec,0
8,60,4,2,0,15,30,7,elec,0
8,60,4,3,1,15,25,7,gas,0
8,60,0,0,0,0,0,0,gas,1
8,61,5,1,0,15,30,6,elec,0
8,61,5,2,1,15,25,8,gas,0
8,61,5,3,0,15,30,6,gas,0
