profileID,respID,obsID,qID,altID,choice,price,fuelEconomy,accelTime,powertrain
22,1,1,1,1,1,15,25,8,Gasoline
50,1,1,1,2,0,20,25,8,Electric
21,1,1,1,3,0,25,20,8,Gasoline
46,1,2,2,1,0,15,20,8,Electric
28,1,2,2,2,1,15,20,6,Electric
51,1,2,2,3,0,25,25,8,Electric
28,1,3,3,1,1,15,20,6,Electric
39,1,3,3,2,0,25,20,7,Electric
8,1,3,3,3,0,20,30,6,Gasoline
45,1,4,4,1,0,25,30,7,Electric
12,1,4,4,2,0,25,20,7,Gasoline
19,1,4,4,3,1,15,20,8,Gasoline
27,1,5,5,1,0,25,30,8,Gasoline
36,1,5,5,2,0,25,30,6,Electric
31,1,5,5,3,1,15,25,6,Electric
52,1,6,6,1,0,15,30,8,Electric
22,1,6,6,2,1,15,25,8,Gasoline
20,1,6,6,3,0,20,20,8,Gasoline
11,1,7,7,1,1,20,20,7,Gasoline
30,1,7,7,2,0,25,20,6,Electric
35,1,7,7,3,0,20,30,6,Electric
54,1,8,8,1,0,25,30,8,Electric
45,1,8,8,2,0,25,30,7,Electric
26,1,8,8,3,1,20,30,8,Gasoline
45,2,9,1,1,0,25,30,7,Electric
15,2,9,1,2,0,25,25,7,Gasoline
14,2,9,1,3,1,20,25,7,Gasoline
34,2,10,2,1,1,15,30,6,Electric
44,2,10,2,2,0,20,30,7,Electric
27,2,10,2,3,0,25,30,8,Gasoline
15,2,11,3,1,0,25,25,7,Gasoline
40,2,11,3,2,1,15,25,7,Electric
12,2,11,3,3,0,25,20,7,Gasoline
44,2,12,4,1,0,20,30,7,Electric
5,2,12,4,2,1,20,25,6,Gasoline
40,2,12,4,3,0,15,25,7,Electric
48,2,13,5,1,0,25,20,8,Electric
14,2,13,5,2,1,20,25,7,Gasoline
37,2,13,5,3,0,15,20,7,Electric
49,2,14,6,1,0,15,25,8,Electric
36,2,14,6,2,0,25,30,6,Electric
2,2,14,6,3,1,20,20,6,Gasoline
50,2,15,7,1,0,20,25,8,Electric
15,2,15,7,2,0,25,25,7,Gasoline
8,2,15,7,3,1,20,30,6,Gasoline
31,2,16,8,1,1,15,25,6,Electric
26,2,16,8,2,0,20,30,8,Gasoline
32,2,16,8,3,0,20,25,6,Electric
45,3,17,1,1,0,25,30,7,Electric
21,3,17,1,2,0,25,20,8,Gasoline
35,3,17,1,3,1,20,30,6,Electric
5,3,18,2,1,0,20,25,6,Gasoline
22,3,18,2,2,1,15,25,8,Gasoline
15,3,18,2,3,0,25,25,7,Gasoline
14,3,19,3,1,0,20,25,7,Gasoline
10,3,19,3,2,1,15,20,7,Gasoline
37,3,19,3,3,0,15,20,7,Electric
38,3,20,4,1,0,20,20,7,Electric
52,3,20,4,2,1,15,30,8,Electric
37,3,20,4,3,0,15,20,7,Electric
43,3,21,5,1,1,15,30,7,Electric
47,3,21,5,2,0,20,20,8,Electric
39,3,21,5,3,0,25,20,7,Electric
13,3,22,6,1,1,15,25,7,Gasoline
53,3,22,6,2,0,20,30,8,Electric
36,3,22,6,3,0,25,30,6,Electric
41,3,23,7,1,0,20,25,7,Electric
15,3,23,7,2,0,25,25,7,Gasoline
2,3,23,7,3,1,20,20,6,Gasoline
28,3,24,8,1,0,15,20,6,Electric
17,3,24,8,2,1,20,30,7,Gasoline
24,3,24,8,3,0,25,25,8,Gasoline
11,4,25,1,1,0,20,20,7,Gasoline
15,4,25,1,2,0,25,25,7,Gasoline
20,4,25,1,3,1,20,20,8,Gasoline
12,4,26,2,1,1,25,20,7,Gasoline
34,4,26,2,2,0,15,30,6,Electric
54,4,26,2,3,0,25,30,8,Electric
27,4,27,3,1,1,25,30,8,Gasoline
29,4,27,3,2,0,20,20,6,Electric
44,4,27,3,3,0,20,30,7,Electric
43,4,28,4,1,0,15,30,7,Electric
5,4,28,4,2,0,20,25,6,Gasoline
25,4,28,4,3,1,15,30,8,Gasoline
42,4,29,5,1,0,25,25,7,Electric
51,4,29,5,2,0,25,25,8,Electric
34,4,29,5,3,1,15,30,6,Electric
3,4,30,6,1,0,25,20,6,Gasoline
42,4,30,6,2,0,25,25,7,Electric
10,4,30,6,3,1,15,20,7,Gasoline
25,4,31,7,1,1,15,30,8,Gasoline
48,4,31,7,2,0,25,20,8,Electric
28,4,31,7,3,0,15,20,6,Electric
31,4,32,8,1,0,15,25,6,Electric
19,4,32,8,2,1,15,20,8,Gasoline
34,4,32,8,3,0,15,30,6,Electric
53,5,33,1,1,0,20,30,8,Electric
5,5,33,1,2,0,20,25,6,Gasoline
34,5,33,1,3,1,15,30,6,Electric
41,5,34,2,1,0,20,25,7,Electric
43,5,34,2,2,1,15,30,7,Electric
50,5,34,2,3,0,20,25,8,Electric
47,5,35,3,1,0,20,20,8,Electric
41,5,35,3,2,0,20,25,7,Electric
25,5,35,3,3,1,15,30,8,Gasoline
28,5,36,4,1,1,15,20,6,Electric
34,5,36,4,2,0,15,30,6,Electric
46,5,36,4,3,0,15,20,8,Electric
27,5,37,5,1,0,25,30,8,Gasoline
54,5,37,5,2,0,25,30,8,Electric
1,5,37,5,3,1,15,20,6,Gasoline
16,5,38,6,1,1,15,30,7,Gasoline
26,5,38,6,2,0,20,30,8,Gasoline
28,5,38,6,3,0,15,20,6,Electric
46,5,39,7,1,0,15,20,8,Electric
25,5,39,7,2,1,15,30,8,Gasoline
37,5,39,7,3,0,15,20,7,Electric
18,5,40,8,1,1,25,30,7,Gasoline
30,5,40,8,2,0,25,20,6,Electric
50,5,40,8,3,0,20,25,8,Electric
28,6,41,1,1,1,15,20,6,Electric
30,6,41,1,2,0,25,20,6,Electric
12,6,41,1,3,0,25,20,7,Gasoline
2,6,42,2,1,0,20,20,6,Gasoline
11,6,42,2,2,1,20,20,7,Gasoline
18,6,42,2,3,0,25,30,7,Gasoline
16,6,43,3,1,1,15,30,7,Gasoline
21,6,43,3,2,0,25,20,8,Gasoline
8,6,43,3,3,0,20,30,6,Gasoline
7,6,44,4,1,1,15,30,6,Gasoline
11,6,44,4,2,0,20,20,7,Gasoline
48,6,44,4,3,0,25,20,8,Electric
24,6,45,5,1,0,25,25,8,Gasoline
3,6,45,5,2,0,25,20,6,Gasoline
13,6,45,5,3,1,15,25,7,Gasoline
3,6,46,6,1,0,25,20,6,Gasoline
23,6,46,6,2,1,20,25,8,Gasoline
42,6,46,6,3,0,25,25,7,Electric
16,6,47,7,1,1,15,30,7,Gasoline
40,6,47,7,2,0,15,25,7,Electric
4,6,47,7,3,0,15,25,6,Gasoline
45,6,48,8,1,0,25,30,7,Electric
29,6,48,8,2,1,20,20,6,Electric
44,6,48,8,3,0,20,30,7,Electric
36,7,49,1,1,0,25,30,6,Electric
29,7,49,1,2,0,20,20,6,Electric
53,7,49,1,3,1,20,30,8,Electric
50,7,50,2,1,0,20,25,8,Electric
7,7,50,2,2,1,15,30,6,Gasoline
54,7,50,2,3,0,25,30,8,Electric
18,7,51,3,1,0,25,30,7,Gasoline
7,7,51,3,2,1,15,30,6,Gasoline
49,7,51,3,3,0,15,25,8,Electric
3,7,52,4,1,0,25,20,6,Gasoline
1,7,52,4,2,1,15,20,6,Gasoline
7,7,52,4,3,0,15,30,6,Gasoline
12,7,53,5,1,0,25,20,7,Gasoline
27,7,53,5,2,1,25,30,8,Gasoline
29,7,53,5,3,0,20,20,6,Electric
48,7,54,6,1,0,25,20,8,Electric
45,7,54,6,2,0,25,30,7,Electric
39,7,54,6,3,1,25,20,7,Electric
47,7,55,7,1,0,20,20,8,Electric
53,7,55,7,2,0,20,30,8,Electric
25,7,55,7,3,1,15,30,8,Gasoline
38,7,56,8,1,0,20,20,7,Electric
43,7,56,8,2,0,15,30,7,Electric
8,7,56,8,3,1,20,30,6,Gasoline
5,8,57,1,1,1,20,25,6,Gasoline
24,8,57,1,2,0,25,25,8,Gasoline
48,8,57,1,3,0,25,20,8,Electric
3,8,58,2,1,0,25,20,6,Gasoline
11,8,58,2,2,1,20,20,7,Gasoline
51,8,58,2,3,0,25,25,8,Electric
32,8,59,3,1,0,20,25,6,Electric
49,8,59,3,2,0,15,25,8,Electric
13,8,59,3,3,1,15,25,7,Gasoline
5,8,60,4,1,0,20,25,6,Gasoline
16,8,60,4,2,1,15,30,7,Gasoline
30,8,60,4,3,0,25,20,6,Electric
4,8,61,5,1,1,15,25,6,Gasoline
47,8,61,5,2,0,20,20,8,Electric
24,8,61,5,3,0,25,25,8,Gasoline
2,8,62,6,1,0,20,20,6,Gasoline
27,8,62,6,2,0,25,30,8,Gasoline
52,8,62,6,3,1,15,30,8,Electric
22,8,63,7,1,0,15,25,8,Gasoline
4,8,63,7,2,0,15,25,6,Gasoline
13,8,63,7,3,1,15,25,7,Gasoline
11,8,64,8,1,1,20,20,7,Gasoline
42,8,64,8,2,0,25,25,7,Electric
18,8,64,8,3,0,25,30,7,Gasoline
32,9,65,1,1,0,20,25,6,Electric
36,9,65,1,2,0,25,30,6,Electric
8,9,65,1,3,1,20,30,6,Gasoline
8,9,66,2,1,0,20,30,6,Gasoline
37,9,66,2,2,0,15,20,7,Electric
25,9,66,2,3,1,15,30,8,Gasoline
54,9,67,3,1,0,25,30,8,Electric
17,9,67,3,2,1,20,30,7,Gasoline
45,9,67,3,3,0,25,30,7,Electric
7,9,68,4,1,1,15,30,6,Gasoline
21,9,68,4,2,0,25,20,8,Gasoline
23,9,68,4,3,0,20,25,8,Gasoline
6,9,69,5,1,0,25,25,6,Gasoline
1,9,69,5,2,1,15,20,6,Gasoline
39,9,69,5,3,0,25,20,7,Electric
3,9,70,6,1,0,25,20,6,Gasoline
38,9,70,6,2,0,20,20,7,Electric
20,9,70,6,3,1,20,20,8,Gasoline
48,9,71,7,1,0,25,20,8,Electric
21,9,71,7,2,0,25,20,8,Gasoline
19,9,71,7,3,1,15,20,8,Gasoline
54,9,72,8,1,0,25,30,8,Electric
37,9,72,8,2,0,15,20,7,Electric
1,9,72,8,3,1,15,20,6,Gasoline
17,10,73,1,1,0,20,30,7,Gasoline
1,10,73,1,2,1,15,20,6,Gasoline
7,10,73,1,3,0,15,30,6,Gasoline
46,10,74,2,1,1,15,20,8,Electric
53,10,74,2,2,0,20,30,8,Electric
30,10,74,2,3,0,25,20,6,Electric
46,10,75,3,1,0,15,20,8,Electric
10,10,75,3,2,1,15,20,7,Gasoline
52,10,75,3,3,0,15,30,8,Electric
32,10,76,4,1,0,20,25,6,Electric
31,10,76,4,2,1,15,25,6,Electric
27,10,76,4,3,0,25,30,8,Gasoline
3,10,77,5,1,0,25,20,6,Gasoline
35,10,77,5,2,1,20,30,6,Electric
30,10,77,5,3,0,25,20,6,Electric
35,10,78,6,1,0,20,30,6,Electric
8,10,78,6,2,1,20,30,6,Gasoline
6,10,78,6,3,0,25,25,6,Gasoline
30,10,79,7,1,0,25,20,6,Electric
9,10,79,7,2,0,25,30,6,Gasoline
40,10,79,7,3,1,15,25,7,Electric
20,10,80,8,1,1,20,20,8,Gasoline
27,10,80,8,2,0,25,30,8,Gasoline
44,10,80,8,3,0,20,30,7,Electric
27,11,81,1,1,0,25,30,8,Gasoline
49,11,81,1,2,0,15,25,8,Electric
34,11,81,1,3,1,15,30,6,Electric
16,11,82,2,1,1,15,30,7,Gasoline
