profileID,respID,obsID,qID,altID,choice,price,fuelEconomy,accelTime,powertrain,group
23,1,1,1,1,0,20,25,8,Gasoline,A
40,1,1,1,2,1,15,25,7,Electric,A
9,1,1,1,3,0,25,30,6,Gasoline,A
27,1,2,2,1,0,25,30,8,Gasoline,A
47,1,2,2,2,0,20,20,8,Electric,A
35,1,2,2,3,1,20,30,6,Electric,A
22,1,3,3,1,1,15,25,8,Gasoline,A
44,1,3,3,2,0,20,30,7,Electric,A
35,1,3,3,3,0,20,30,6,Electric,A
37,1,4,4,1,0,15,20,7,Electric,A
18,1,4,4,2,0,25,30,7,Gasoline,A
25,1,4,4,3,1,15,30,8,Gasoline,A
35,1,5,5,1,1,20,30,6,Electric,A
45,1,5,5,2,0,25,30,7,Electric,A
19,1,5,5,3,0,15,20,8,Gasoline,A
12,1,6,6,1,0,25,20,7,Gasoline,A
15,1,6,6,2,0,25,25,7,Gasoline,A
1,1,6,6,3,1,15,20,6,Gasoline,A
9,1,7,7,1,0,25,30,6,Gasoline,A
54,1,7,7,2,0,25,30,8,Electric,A
14,1,7,7,3,1,20,25,7,Gasoline,A
48,1,8,8,1,0,25,20,8,Electric,A
22,1,8,8,2,1,15,25,8,Gasoline,A
17,1,8,8,3,0,20,30,7,Gasoline,A
25,2,9,1,1,1,15,30,8,Gasoline,A
43,2,9,1,2,0,15,30,7,Electric,A
12,2,9,1,3,0,25,20,7,Gasoline,A
27,2,10,2,1,0,25,30,8,Gasoline,A
5,2,10,2,2,1,20,25,6,Gasoline,A
4,2,10,2,3,0,15,25,6,Gasoline,A
33,2,11,3,1,0,25,25,6,Electric,A
50,2,11,3,2,0,20,25,8,Electric,A
49,2,11,3,3,1,15,25,8,Electric,A
54,2,12,4,1,0,25,30,8,Electric,A
19,2,12,4,2,1,15,20,8,Gasoline,A
12,2,12,4,3,0,25,20,7,Gasoline,A
12,2,13,5,1,0,25,20,7,Gasoline,A
16,2,13,5,2,1,15,30,7,Gasoline,A
30,2,13,5,3,0,25,20,6,Electric,A
47,2,14,6,1,1,20,20,8,Electric,A
6,2,14,6,2,0,25,25,6,Gasoline,A
54,2,14,6,3,0,25,30,8,Electric,A
17,2,15,7,1,1,20,30,7,Gasoline,A
33,2,15,7,2,0,25,25,6,Electric,A
18,2,15,7,3,0,25,30,7,Gasoline,A
10,2,16,8,1,1,15,20,7,Gasoline,A
9,2,16,8,2,0,25,30,6,Gasoline,A
29,2,16,8,3,0,20,20,6,Electric,A
8,3,17,1,1,0,20,30,6,Gasoline,A
43,3,17,1,2,1,15,30,7,Electric,A
38,3,17,1,3,0,20,20,7,Electric,A
8,3,18,2,1,1,20,30,6,Gasoline,A
14,3,18,2,2,0,20,25,7,Gasoline,A
36,3,18,2,3,0,25,30,6,Electric,A
15,3,19,3,1,0,25,25,7,Gasoline,A
29,3,19,3,2,0,20,20,6,Electric,A
40,3,19,3,3,1,15,25,7,Electric,A
42,3,20,4,1,0,25,25,7,Electric,A
31,3,20,4,2,1,15,25,6,Electric,A
27,3,20,4,3,0,25,30,8,Gasoline,A
34,3,21,5,1,0,15,30,6,Electric,A
46,3,21,5,2,0,15,20,8,Electric,A
23,3,21,5,3,1,20,25,8,Gasoline,A
33,3,22,6,1,0,25,25,6,Electric,A
30,3,22,6,2,0,25,20,6,Electric,A
53,3,22,6,3,1,20,30,8,Electric,A
25,3,23,7,1,1,15,30,8,Gasoline,A
39,3,23,7,2,0,25,20,7,Electric,A
22,3,23,7,3,0,15,25,8,Gasoline,A
28,3,24,8,1,1,15,20,6,Electric,A
20,3,24,8,2,0,20,20,8,Gasoline,A
42,3,24,8,3,0,25,25,7,Electric,A
53,4,25,1,1,0,20,30,8,Electric,A
14,4,25,1,2,1,20,25,7,Gasoline,A
51,4,25,1,3,0,25,25,8,Electric,A
25,4,26,2,1,1,15,30,8,Gasoline,A
44,4,26,2,2,0,20,30,7,Electric,A
54,4,26,2,3,0,25,30,8,Electric,A
20,4,27,3,1,0,20,20,8,Gasoline,A
44,4,27,3,2,1,20,30,7,Electric,A
5,4,27,3,3,0,20,25,6,Gasoline,A
8,4,28,4,1,1,20,30,6,Gasoline,A
54,4,28,4,2,0,25,30,8,Electric,A
29,4,28,4,3,0,20,20,6,Electric,A
19,4,29,5,1,1,15,20,8,Gasoline,A
33,4,29,5,2,0,25,25,6,Electric,A
30,4,29,5,3,0,25,20,6,Electric,A
27,4,30,6,1,0,25,30,8,Gasoline,A
10,4,30,6,2,1,15,20,7,Gasoline,A
35,4,30,6,3,0,20,30,6,Electric,A
37,4,31,7,1,1,15,20,7,Electric,A
54,4,31,7,2,0,25,30,8,Electric,A
23,4,31,7,3,0,20,25,8,Gasoline,A
54,4,32,8,1,0,25,30,8,Electric,A
39,4,32,8,2,0,25,20,7,Electric,A
6,4,32,8,3,1,25,25,6,Gasoline,A
1,5,33,1,1,1,15,20,6,Gasoline,A
40,5,33,1,2,0,15,25,7,Electric,A
21,5,33,1,3,0,25,20,8,Gasoline,A
29,5,34,2,1,0,20,20,6,Electric,A
28,5,34,2,2,1,15,20,6,Electric,A
30,5,34,2,3,0,25,20,6,Electric,A
31,5,35,3,1,1,15,25,6,Electric,A
9,5,35,3,2,0,25,30,6,Gasoline,A
16,5,35,3,3,0,15,30,7,Gasoline,A
53,5,36,4,1,0,20,30,8,Electric,A
39,5,36,4,2,0,25,20,7,Electric,A
31,5,36,4,3,1,15,25,6,Electric,A
54,5,37,5,1,0,25,30,8,Electric,A
31,5,37,5,2,0,15,25,6,Electric,A
43,5,37,5,3,1,15,30,7,Electric,A
33,5,38,6,1,0,25,25,6,Electric,A
12,5,38,6,2,1,25,20,7,Gasoline,A
54,5,38,6,3,0,25,30,8,Electric,A
46,5,39,7,1,0,15,20,8,Electric,A
15,5,39,7,2,0,25,25,7,Gasoline,A
1,5,39,7,3,1,15,20,6,Gasoline,A
18,5,40,8,1,0,25,30,7,Gasoline,A
38,5,40,8,2,0,20,20,7,Electric,A
44,5,40,8,3,1,20,30,7,Electric,A
27,6,41,1,1,0,25,30,8,Gasoline,A
43,6,41,1,2,1,15,30,7,Electric,A
36,6,41,1,3,0,25,30,6,Electric,A
14,6,42,2,1,0,20,25,7,Gasoline,A
26,6,42,2,2,0,20,30,8,Gasoline,A
49,6,42,2,3,1,15,25,8,Electric,A
50,6,43,3,1,0,20,25,8,Electric,A
11,6,43,3,2,0,20,20,7,Gasoline,A
40,6,43,3,3,1,15,25,7,Electric,A
26,6,44,4,1,0,20,30,8,Gasoline,A
10,6,44,4,2,1,15,20,7,Gasoline,A
8,6,44,4,3,0,20,30,6,Gasoline,A
35,6,45,5,1,0,20,30,6,Electric,A
30,6,45,5,2,0,25,20,6,Electric,A
28,6,45,5,3,1,15,20,6,Electric,A
29,6,46,6,1,1,20,20,6,Electric,A
15,6,46,6,2,0,25,25,7,Gasoline,A
54,6,46,6,3,0,25,30,8,Electric,A
53,6,47,7,1,0,20,30,8,Electric,A
31,6,47,7,2,0,15,25,6,Electric,A
34,6,47,7,3,1,15,30,6,Electric,A
4,6,48,8,1,1,15,25,6,Gasoline,A
28,6,48,8,2,0,15,20,6,Electric,A
22,6,48,8,3,0,15,25,8,Gasoline,A
53,7,49,1,1,0,20,30,8,Electric,A
24,7,49,1,2,0,25,25,8,Gasoline,A
40,7,49,1,3,1,15,25,7,Electric,A
34,7,50,2,1,1,15,30,6,Electric,A
23,7,50,2,2,0,20,25,8,Gasoline,A
48,7,50,2,3,0,25,20,8,Electric,A
9,7,51,3,1,0,25,30,6,Gasoline,A
5,7,51,3,2,0,20,25,6,Gasoline,A
25,7,51,3,3,1,15,30,8,Gasoline,A
11,7,52,4,1,0,20,20,7,Gasoline,A
25,7,52,4,2,1,15,30,8,Gasoline,A
6,7,52,4,3,0,25,25,6,Gasoline,A
35,7,53,5,1,0,20,30,6,Electric,A
32,7,53,5,2,1,20,25,6,Electric,A
11,7,53,5,3,0,20,20,7,Gasoline,A
50,7,54,6,1,1,20,25,8,Electric,A
27,7,54,6,2,0,25,30,8,Gasoline,A
42,7,54,6,3,0,25,25,7,Electric,A
35,7,55,7,1,0,20,30,6,Electric,A
51,7,55,7,2,0,25,25,8,Electric,A
19,7,55,7,3,1,15,20,8,Gasoline,A
25,7,56,8,1,1,15,30,8,Gasoline,A
3,7,56,8,2,0,25,20,6,Gasoline,A
36,7,56,8,3,0,25,30,6,Electric,A
35,8,57,1,1,0,20,30,6,Electric,A
40,8,57,1,2,1,15,25,7,Electric,A
9,8,57,1,3,0,25,30,6,Gasoline,A
9,8,58,2,1,0,25,30,6,Gasoline,A
1,8,58,2,2,0,15,20,6,Gasoline,A
28,8,58,2,3,1,15,20,6,Electric,A
37,8,59,3,1,0,15,20,7,Electric,A
38,8,59,3,2,0,20,20,7,Electric,A
28,8,59,3,3,1,15,20,6,Electric,A
13,8,60,4,1,1,15,25,7,Gasoline,A
3,8,60,4,2,0,25,20,6,Gasoline,A
46,8,60,4,3,0,15,20,8,Electric,A
28,8,61,5,1,0,15,20,6,Electric,A
17,8,61,5,2,1,20,30,7,Gasoline,A
33,8,61,5,3,0,25,25,6,Electric,A
46,8,62,6,1,0,15,20,8,Electric,A
34,8,62,6,2,0,15,30,6,Electric,A
19,8,62,6,3,1,15,20,8,Gasoline,A
26,8,63,7,1,1,20,30,8,Gasoline,A
5,8,63,7,2,0,20,25,6,Gasoline,A
36,8,63,7,3,0,25,30,6,Electric,A
8,8,64,8,1,1,20,30,6,Gasoline,A
38,8,64,8,2,0,20,20,7,Electric,A
39,8,64,8,3,0,25,20,7,Electric,A
32,9,65,1,1,0,20,25,6,Electric,A
15,9,65,1,2,0,25,25,7,Gasoline,A
44,9,65,1,3,1,20,30,7,Electric,A
18,9,66,2,1,0,25,30,7,Gasoline,A
4,9,66,2,2,1,15,25,6,Gasoline,A
5,9,66,2,3,0,20,25,6,Gasoline,A
