profileID,respID,obsID,qID,altID,choice,price,fuelEconomy,accelTime,powertrainelectric,no_choice
53,1,1,1,1,0,20,30,8,1,0
48,1,1,1,2,0,25,20,8,1,0
17,1,1,1,3,1,20,30,7,0,0
0,1,1,1,4,0,0,0,0,0,1
41,1,2,2,1,0,20,25,7,1,0
5,1,2,2,2,1,20,25,6,0,0
37,1,2,2,3,0,15,20,7,1,0
0,1,2,2,4,0,0,0,0,0,1
20,1,3,3,1,0,20,20,8,0,0
10,1,3,3,2,1,15,20,7,0,0
39,1,3,3,3,0,25,20,7,1,0
0,1,3,3,4,0,0,0,0,0,1
37,1,4,4,1,0,15,20,7,1,0
8,1,4,4,2,1,20,30,6,0,0
17,1,4,4,3,0,20,30,7,0,0
0,1,4,4,4,0,0,0,0,0,1
16,1,5,5,1,1,15,30,7,0,0
54,1,5,5,2,0,25,30,8,1,0
24,1,5,5,3,0,25,25,8,0,0
0,1,5,5,4,0,0,0,0,0,1
23,1,6,6,1,1,20,25,8,0,0
3,1,6,6,2,0,25,20,6,0,0
33,1,6,6,3,0,25,25,6,1,0
0,1,6,6,4,0,0,0,0,0,1
25,1,7,7,1,1,15,30,8,0,0
41,1,7,7,2,0,20,25,7,1,0
45,1,7,7,3,0,25,30,7,1,0
0,1,7,7,4,0,0,0,0,0,1
23,1,8,8,1,1,20,25,8,0,0
29,1,8,8,2,0,20,20,6,1,0
15,1,8,8,3,0,25,25,7,0,0
0,1,8,8,4,0,0,0,0,0,1
27,2,9,1,1,0,25,30,8,0,0
1,2,9,1,2,1,15,20,6,0,0
53,2,9,1,3,0,20,30,8,1,0
0,2,9,1,4,0,0,0,0,0,1
13,2,10,2,1,1,15,25,7,0,0
27,2,10,2,2,0,25,30,8,0,0
34,2,10,2,3,0,15,30,6,1,0
0,2,10,2,4,0,0,0,0,0,1
40,2,11,3,1,0,15,25,7,1,0
2,2,11,3,2,0,20,20,6,0,0
13,2,11,3,3,1,15,25,7,0,0
0,2,11,3,4,0,0,0,0,0,1
42,2,12,4,1,0,25,25,7,1,0
23,2,12,4,2,1,20,25,8,0,0
50,2,12,4,3,0,20,25,8,1,0
0,2,12,4,4,0,0,0,0,0,1
54,2,13,5,1,0,25,30,8,1,0
53,2,13,5,2,0,20,30,8,1,0
52,2,13,5,3,1,15,30,8,1,0
0,2,13,5,4,0,0,0,0,0,1
41,2,14,6,1,0,20,25,7,1,0
52,2,14,6,2,0,15,30,8,1,0
1,2,14,6,3,1,15,20,6,0,0
0,2,14,6,4,0,0,0,0,0,1
24,2,15,7,1,0,25,25,8,0,0
15,2,15,7,2,0,25,25,7,0,0
45,2,15,7,3,0,25,30,7,1,0
0,2,15,7,4,1,0,0,0,0,1
